Team
Baylor Lady Bears
BYU Cougars
Florida Gators
Florida St. Seminoles
Georgia Tech Yellow Jackets
Kentucky Wildcats
Louisville Cardinals
Minnesota Golden Gophers
Missouri Tigers
Nebraska Cornhuskers
Notre Dame Fighting Irish
Ohio St. Buckeyes
Oregon Ducks
Penn St. Nittany Lions
Pepperdine Waves
Pittsburgh Panthers
Purdue Boilermakers
San Diego Toreros
Texas Longhorns
UCLA Bruins
Utah Utes
Washington Huskies
Washington St. Cougars
Western Ky. Lady Toppers
Wisconsin Badgers
